x,y
-0.117,-0.032
0.141,-0.035
0.398,-0.038
0.912,-0.044
1.427,-0.050
1.941,-0.056
2.456,-0.062
2.970,-0.069
3.485,-0.075
3.999,-0.081
4.514,-0.087
5.028,-0.093
5.543,-0.099
6.057,-0.105
6.571,-0.111
7.086,-0.118
7.600,-0.124
8.115,-0.130
8.629,-0.136
9.040,-0.036
9.348,0.170
9.551,0.482
9.652,0.900
9.649,1.424
9.645,1.947
9.642,2.471
9.639,2.995
9.636,3.519
9.632,4.043
9.629,4.567
9.626,5.091
9.623,5.614
9.619,6.138
9.616,6.662
9.613,7.186
9.610,7.710
9.507,8.129
9.304,8.443
9.001,8.652
8.598,8.756
8.095,8.755
7.592,8.755
7.089,8.754
6.586,8.753
6.084,8.752
5.581,8.752
5.078,8.751
4.575,8.750
4.072,8.749
3.570,8.749
3.067,8.748
2.564,8.747
2.061,8.746
1.558,8.746
1.056,8.745
0.553,8.744
0.050,8.743
-0.453,8.743
-0.956,8.742
-1.459,8.741
-1.961,8.740
-2.464,8.740
-2.967,8.739
-3.470,8.738
-3.973,8.737
-4.475,8.737
-4.978,8.736
-5.481,8.735
-5.984,8.734
-6.487,8.733
-6.989,8.733
-7.492,8.732
-7.995,8.731
-8.498,8.730
-9.001,8.730
-9.503,8.729
-10.006,8.728
-10.509,8.727
-11.012,8.727
-11.515,8.726
-12.018,8.725
-12.520,8.724
-12.923,8.621
-13.225,8.413
-13.427,8.103
-13.529,7.690
-13.530,7.173
-13.532,6.657
-13.533,6.140
-13.534,5.624
-13.536,5.107
-13.537,4.591
-13.539,4.074
-13.540,3.558
-13.542,3.041
-13.543,2.525
-13.544,2.008
-13.546,1.492
-13.547,0.975
-13.447,0.563
-13.244,0.253
-12.940,0.048
-12.534,-0.054
-12.026,-0.052
-11.518,-0.050
-11.009,-0.049
-10.501,-0.047
-9.993,-0.045
-9.485,-0.043
-8.977,-0.041
-8.469,-0.040
-7.961,-0.038
-7.452,-0.036
-6.944,-0.034
-6.436,-0.032
-5.928,-0.031
-5.420,-0.029
-4.912,-0.027
-4.404,-0.025
-3.895,-0.023
-3.387,-0.022
-2.879,-0.020
-2.625,-0.019
-2.371,-0.018
